revision,system,committer_date_readable,committer_date_unix,source_lines_of_code,architecture,binding-file,environment,extractor,kconfig-file,model-features,model-file,model-literals,model-time,model-variables
v2.5.46,linux,2002-11-04,1036450260,3545394,cris,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=cris|ARCH=cris|SRCARCH=cris|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/cris/Kconfig,2135,kmax/linux/v2.5.46[cris].model,8943,15879818051,2086
v2.5.46,linux,2002-11-04,1036450260,3545394,i386,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=i386|ARCH=i386|SRCARCH=i386|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/i386/Kconfig,3279,kconfigreader/linux/v2.5.46[i386].model,66789,4625179075,3646
v2.5.46,linux,2002-11-04,1036450260,3545394,i386,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=i386|ARCH=i386|SRCARCH=i386|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/i386/Kconfig,2290,kmax/linux/v2.5.46[i386].model,13901,17957553525,2190
v2.5.46,linux,2002-11-04,1036450260,3545394,ia64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=ia64|ARCH=ia64|SRCARCH=ia64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/ia64/Kconfig,3102,kconfigreader/linux/v2.5.46[ia64].model,68569,4582968602,3462
v2.5.46,linux,2002-11-04,1036450260,3545394,ia64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=ia64|ARCH=ia64|SRCARCH=ia64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/ia64/Kconfig,2171,kmax/linux/v2.5.46[ia64].model,13958,17567564234,2073
v2.5.46,linux,2002-11-04,1036450260,3545394,m68k,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=m68k|ARCH=m68k|SRCARCH=m68k|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/m68k/Kconfig,1492,kconfigreader/linux/v2.5.46[m68k].model,25943,3444625162,1589
v2.5.46,linux,2002-11-04,1036450260,3545394,m68k,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=m68k|ARCH=m68k|SRCARCH=m68k|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/m68k/Kconfig,1063,kmax/linux/v2.5.46[m68k].model,6198,8172217493,990
v2.5.46,linux,2002-11-04,1036450260,3545394,m68knommu,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=m68knommu|ARCH=m68knommu|SRCARCH=m68knommu|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/m68knommu/Kconfig,3195,kconfigreader/linux/v2.5.46[m68knommu].model,59527,4798109307,3558
v2.5.46,linux,2002-11-04,1036450260,3545394,m68knommu,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=m68knommu|ARCH=m68knommu|SRCARCH=m68knommu|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/m68knommu/Kconfig,2236,kmax/linux/v2.5.46[m68knommu].model,12238,17669255979,2136
v2.5.46,linux,2002-11-04,1036450260,3545394,mips,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=mips|ARCH=mips|SRCARCH=mips|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/mips/Kconfig,,kconfigreader/NA,,475819317,
v2.5.46,linux,2002-11-04,1036450260,3545394,mips,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=mips|ARCH=mips|SRCARCH=mips|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/mips/Kconfig,,kmax/NA,,554414030,
v2.5.46,linux,2002-11-04,1036450260,3545394,mips64,kconfigreader/kconfig-bindings/linux/v2.6.9.dumpconf,SUBARCH=mips64|ARCH=mips64|SRCARCH=mips64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kconfigreader,arch/mips64/Kconfig,3079,kconfigreader/linux/v2.5.46[mips64].model,61657,4490677668,3438
v2.5.46,linux,2002-11-04,1036450260,3545394,mips64,kmax/kconfig-bindings/linux/v2.6.9.kextractor,SUBARCH=mips64|ARCH=mips64|SRCARCH=mips64|srctree=.|CC=cc|LD=ld|KERNELVERSION=v2.5.46,kmax,arch/mips64/Kconfig,2145,kmax/linux/v2.5.46[mips64].model,12519,16530827512,2051
